Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title
10.254.25.54,0,ve,microsoft-windows-cve-2025-27481,CVE-2025-27481,9,Microsoft Windows: CVE-2025-27481: Windows Telephony Service Remote Code Execution Vulnerability
10.254.25.92,0,ve,msft-cve-2024-37320,CVE-2024-37320,9,Microsoft CVE-2024-37320: SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability
10.254.25.84,0,ve,microsoft-windows-cve-2024-49124,CVE-2024-49124,9,Microsoft Windows: CVE-2024-49124: Lightweight Directory Access Protocol (LDAP) Client Remote Code Execution Vulnerability
10.254.25.105,0,ve,msft-cve-2024-49000,CVE-2024-49000,9,Microsoft CVE-2024-49000: SQL Server Native Client Remote Code Execution Vulnerability
10.254.25.64,0,ve,msft-cve-2024-43461,CVE-2024-43461,9,Microsoft Windows: CVE-2024-43461: Windows MSHTML Platform Spoofing Vulnerability
10.254.25.85,0,ve,microsoft-windows-cve-2024-49120,CVE-2024-49120,9,Microsoft Windows: CVE-2024-49120: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.25.84,0,ve,microsoft-windows-cve-2025-21236,CVE-2025-21236,9,Microsoft Windows: CVE-2025-21236: Windows Telephony Service Remote Code Execution Vulnerability
10.254.25.64,0,ve,msft-cve-2024-49010,CVE-2024-49010,9,Microsoft CVE-2024-49010: SQL Server Native Client Remote Code Execution Vulnerability
10.254.25.92,0,ve,msft-cve-2024-21308,CVE-2024-21308,9,Microsoft CVE-2024-21308: SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability
10.254.25.50,0,ve,msft-cve-2024-35272,CVE-2024-35272,9,Microsoft CVE-2024-35272: SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability
10.254.25.61,0,ve,msft-cve-2024-29985,CVE-2024-29985,9,Microsoft CVE-2024-29985: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability
10.254.25.136,0,ve,microsoft-windows-cve-2025-21205,CVE-2025-21205,9,Microsoft Windows: CVE-2025-21205: Windows Telephony Service Remote Code Execution Vulnerability
10.254.25.104,0,ve,msft-cve-2024-21312,CVE-2024-21312,8,Microsoft CVE-2024-21312: .NET Framework Denial of Service Vulnerability
10.254.25.115,0,ve,windows-defender-cve-2017-8558,CVE-2017-8558,9,Microsoft Malware Protection Engine Remote Code Execution Vulnerability (CVE-2017-8558)
10.254.25.116,0,ve,msft-cve-2024-49004,CVE-2024-49004,9,Microsoft CVE-2024-49004: SQL Server Native Client Remote Code Execution Vulnerability
10.254.25.75,0,vv,oracle_linux-cve-2024-3596,CVE-2024-3596,8,Oracle Linux: CVE-2024-3596: ELSA-2024-4911:  freeradius security update (IMPORTANT) (Multiple Advisories)
10.254.25.117,0,ve,msft-cve-2024-29988,CVE-2024-29988,9,Microsoft Windows: CVE-2024-29988: SmartScreen Prompt Security Feature Bypass Vulnerability
10.254.25.60,0,ve,msft-cve-2024-21348,CVE-2024-21348,8,Microsoft Windows: CVE-2024-21348: Internet Connection Sharing (ICS) Denial of Service Vulnerability
10.254.25.72,0,vv,redhat_linux-cve-2022-40674,CVE-2022-40674,9,Red Hat: CVE-2022-40674: a use-after-free in the doContent function in xmlparse.c (Multiple Advisories)
10.254.25.32,0,vv,ubuntu-cve-2022-43680,"CVE-2022-43680,CVE-2022-43680",8,Ubuntu: (Multiple Advisories) (CVE-2022-43680): Expat vulnerabilities
10.254.25.60,0,ve,msft-cve-2024-21438,CVE-2024-21438,8,Microsoft Windows: CVE-2024-21438: Microsoft AllJoyn API Denial of Service Vulnerability
10.254.25.144,0,ve,msft-cve-2024-37323,CVE-2024-37323,9,Microsoft CVE-2024-37323: SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability
10.254.25.39,0,ve,msft-cve-2024-49005,CVE-2024-49005,9,Microsoft CVE-2024-49005: SQL Server Native Client Remote Code Execution Vulnerability
10.254.25.61,0,ve,msft-cve-2024-37338,CVE-2024-37338,9,Microsoft CVE-2024-37338: Microsoft SQL Server Native Scoring Remote Code Execution Vulnerability
10.254.25.117,0,ve,msft-cve-2024-38114,CVE-2024-38114,9,Microsoft Windows: CVE-2024-38114: Windows IP Routing Management Snapin Remote Code Execution Vulnerability
10.254.25.61,0,ve,msft-cve-2024-20687,CVE-2024-20687,8,Microsoft Windows: CVE-2024-20687: Microsoft AllJoyn API Denial of Service Vulnerability
10.254.25.143,0,ve,msft-cve-2024-37335,CVE-2024-37335,9,Microsoft CVE-2024-37335: Microsoft SQL Server Native Scoring Remote Code Execution Vulnerability
10.254.25.39,0,ve,msft-cve-2024-28931,CVE-2024-28931,9,Microsoft CVE-2024-28931: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability
10.254.25.126,0,vv,jre-vuln-cve-2024-20918,CVE-2024-20918,9,"Java CPU January 2024 Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition vulnerability (CVE-2024-20918)"
10.254.25.83,0,ve,microsoft-windows-cve-2025-21251,CVE-2025-21251,8,Microsoft Windows: CVE-2025-21251: Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
10.254.25.115,0,ve,microsoft-windows-cve-2025-21306,CVE-2025-21306,9,Microsoft Windows: CVE-2025-21306: Windows Telephony Service Remote Code Execution Vulnerability
10.254.25.50,0,ve,msft-cve-2024-49006,CVE-2024-49006,9,Microsoft CVE-2024-49006: SQL Server Native Client Remote Code Execution Vulnerability
10.254.25.32,0,vv,ubuntu-cve-2024-37371,CVE-2024-37371,9,Ubuntu: USN-6947-1 (CVE-2024-37371): Kerberos vulnerabilities
