Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title
10.254.64.113,0,vv,google-chrome-cve-2025-5280,CVE-2025-5280,9,Google Chrome Vulnerability: CVE-2025-5280 Out of bounds write in V8
10.254.64.26,0,ve,msft-cve-2024-48999,CVE-2024-48999,9,Microsoft CVE-2024-48999: SQL Server Native Client Remote Code Execution Vulnerability
10.254.64.143,0,ve,microsoft-windows-cve-2025-33056,CVE-2025-33056,8,Microsoft Windows: CVE-2025-33056: Windows Local Security Authority (LSA) Denial of Service Vulnerability
10.254.64.143,0,ve,microsoft-windows-cve-2025-29962,CVE-2025-29962,9,Microsoft Windows: CVE-2025-29962: Windows Media Remote Code Execution Vulnerability
10.254.64.143,0,ve,microsoft-office-cve-2018-8157,CVE-2018-8157,9,Microsoft Office: CVE-2018-8157: Microsoft Office Remote Code Execution Vulnerability
10.254.64.113,0,vv,google-chrome-cve-2025-8011,CVE-2025-8011,9,Google Chrome Vulnerability: CVE-2025-8011 Type Confusion in V8
10.254.64.29,0,vv,jre-vuln-cve-2023-42950,CVE-2023-42950,9,"Java CPU October 2024 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2023-42950)"
10.254.64.29,0,ve,microsoft-windows-cve-2025-47981,CVE-2025-47981,10,Microsoft Windows: CVE-2025-47981: SPNEGO Extended Negotiation (NEGOEX) Security Mechanism Remote Code Execution Vulnerability
10.254.64.27,0,ve,microsoft-windows-cve-2025-49724,CVE-2025-49724,9,Microsoft Windows: CVE-2025-49724: Windows Connected Devices Platform Service Remote Code Execution Vulnerability
10.254.64.143,0,vv,windows-hotfix-ms16-070,"CVE-2016-0025,CVE-2016-3233,CVE-2016-3234,CVE-2016-3235",9,MS16-070: Security Update for Microsoft Office (3163610)
10.254.64.142,0,vv,microsoft-office-cve-2018-8430,CVE-2018-8430,9,Microsoft Office: CVE-2018-8430: Word PDF Remote Code Execution Vulnerability
10.254.64.29,0,ve,microsoft-windows-cve-2025-50154,CVE-2025-50154,8,Microsoft Windows: CVE-2025-50154: Microsoft Windows File Explorer Spoofing Vulnerability
10.254.64.26,0,ve,msft-cve-2024-28930,CVE-2024-28930,9,Microsoft CVE-2024-28930: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability
10.254.64.142,0,ve,microsoft-windows-cve-2025-29842,CVE-2025-29842,8,Microsoft Windows: CVE-2025-29842: UrlMon Security Feature Bypass Vulnerability
10.254.64.39,0,ve,microsoft-windows-cve-2025-26663,CVE-2025-26663,9,Microsoft Windows: CVE-2025-26663: Windows Lightweight Directory Access Protocol (LDAP) Remote Code Execution Vulnerability
10.254.64.113,0,ve,microsoft-windows-cve-2025-21241,CVE-2025-21241,9,Microsoft Windows: CVE-2025-21241: Windows Telephony Service Remote Code Execution Vulnerability
10.254.64.142,0,ve,microsoft-office-cve-2018-8248,CVE-2018-8248,9,Microsoft Office: CVE-2018-8248: Microsoft Excel Remote Code Execution Vulnerability
10.254.64.39,0,ve,microsoft-windows-cve-2025-24035,CVE-2025-24035,9,Microsoft Windows: CVE-2025-24035: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.64.143,0,vv,microsoft-office-cve-2017-0053,CVE-2017-0053,9,Microsoft Office: CVE-2017-0053: Microsoft Office Memory Corruption Vulnerability
10.254.64.113,0,vv,google-chrome-cve-2025-3068,CVE-2025-3068,9,Google Chrome Vulnerability: CVE-2025-3068 Inappropriate implementation in Intents
10.254.64.73,0,ve,microsoft-windows-cve-2025-29966,CVE-2025-29966,9,Microsoft Windows: CVE-2025-29966: Remote Desktop Client Remote Code Execution Vulnerability
10.254.64.143,0,ve,microsoft-windows-cve-2025-27479,CVE-2025-27479,8,Microsoft Windows: CVE-2025-27479: Kerberos Key Distribution Proxy Service Denial of Service Vulnerability
10.254.64.29,0,vv,apache-log4j-obsolete-version,,10,Apache Log4j Obsolete Version
10.254.64.140,0,ve,microsoft-windows-cve-2025-29831,CVE-2025-29831,8,Microsoft Windows: CVE-2025-29831: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.64.26,0,ve,msft-cve-2024-28928,CVE-2024-28928,9,Microsoft CVE-2024-28928: SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability
10.254.64.135,0,ve,microsoft-windows-cve-2025-29810,CVE-2025-29810,9,Microsoft Windows: CVE-2025-29810: Active Directory Domain Services Elevation of Privilege Vulnerability
10.254.64.142,0,ve,microsoft-office-cve-2020-1563,CVE-2020-1563,9,Microsoft Office: CVE-2020-1563: Microsoft Office Remote Code Execution Vulnerability
10.254.64.113,0,ve,microsoft-windows-cve-2024-49113,CVE-2024-49113,8,Microsoft Windows: CVE-2024-49113: Windows Lightweight Directory Access Protocol (LDAP) Denial of Service Vulnerability
