Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title
10.254.64.20,0,vv,oracle_linux-cve-2022-41724,CVE-2022-41724,8,Oracle Linux: CVE-2022-41724: ELSA-2023-6380:  runc security update (MODERATE) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2024-1975,CVE-2024-1975,8,Oracle Linux: CVE-2024-1975: ELSA-2024-5390:  bind9.16 security update (IMPORTANT) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2024-33871,CVE-2024-33871,10,Oracle Linux: CVE-2024-33871: ELSA-2024-4549:  ghostscript security update (IMPORTANT) (Multiple Advisories)
10.254.64.22,0,vv,oracle_linux-cve-2022-3064,CVE-2022-3064,8,Oracle Linux: CVE-2022-3064: ELSA-2023-6938:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2023-51714,CVE-2023-51714,8,Oracle Linux: CVE-2023-51714: ELSA-2024-2276:  qt5-qtbase security update (MODERATE) (Multiple Advisories)
10.254.64.212,0,vv,oracle_linux-cve-2020-12351,CVE-2020-12351,8,Oracle Linux: CVE-2020-12351: ELSA-2020-4286:  kernel security and bug fix update (IMPORTANT) (Multiple Advisories)
10.254.64.70,0,vv,oracle_linux-cve-2023-5178,CVE-2023-5178,9,Oracle Linux: CVE-2023-5178: ELSA-2023-13043: Unbreakable Enterprise kernel security update (IMPORTANT) (Multiple Advisories)
10.254.64.153,0,vv,oracle_linux-cve-2024-3727,CVE-2024-3727,8,Oracle Linux: CVE-2024-3727: ELSA-2024-5258:  container-tools:ol8 security update (IMPORTANT) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2024-24788,CVE-2024-24788,8,Oracle Linux: CVE-2024-24788: ELSA-2024-5291:  grafana security update (MODERATE) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2023-39322,CVE-2023-39322,8,Oracle Linux: CVE-2023-39322: ELSA-2023-7763:  runc security update (MODERATE) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2024-45490,CVE-2024-45490,8,Oracle Linux: CVE-2024-45490: ELSA-2024-6754:  expat security update (MODERATE) (Multiple Advisories)
10.254.64.21,0,vv,oracle_linux-cve-2023-45287,CVE-2023-45287,8,Oracle Linux: CVE-2023-45287: ELSA-2024-2988:  container-tools:ol8 security update (MODERATE) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2022-2880,CVE-2022-2880,8,Oracle Linux: CVE-2022-2880: ELSA-2023-18908: ol8addon security update (IMPORTANT) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2023-51714,CVE-2023-51714,8,Oracle Linux: CVE-2023-51714: ELSA-2024-2276:  qt5-qtbase security update (MODERATE) (Multiple Advisories)
10.254.64.70,0,vv,oracle_linux-cve-2024-53206,CVE-2024-53206,8,Oracle Linux: CVE-2024-53206: ELSA-2025-20018: Unbreakable Enterprise kernel security update (IMPORTANT) (Multiple Advisories)
10.254.64.151,0,vv,docker_ce-cve-2024-41110,CVE-2024-41110,9,Docker CE:  (CVE-2024-41110)
10.254.64.20,0,vv,oracle_linux-cve-2023-24539,CVE-2023-24539,8,Oracle Linux: CVE-2023-24539: ELSA-2023-6938:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2023-24539,CVE-2023-24539,8,Oracle Linux: CVE-2023-24539: ELSA-2023-6938:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2024-1394,CVE-2024-1394,8,Oracle Linux: CVE-2024-1394: ELSA-2024-1501:  grafana security update (IMPORTANT) (Multiple Advisories)
10.254.64.22,0,vv,oracle_linux-cve-2022-30630,CVE-2022-30630,8,Oracle Linux: CVE-2022-30630: ELSA-2022-5799:  go-toolset and golang security and bug fix update (IMPORTANT) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2023-24537,CVE-2023-24537,8,Oracle Linux: CVE-2023-24537: ELSA-2023-6938:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2024-24788,CVE-2024-24788,8,Oracle Linux: CVE-2024-24788: ELSA-2024-5291:  grafana security update (MODERATE) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2024-3019,CVE-2024-3019,8,"Oracle Linux: CVE-2024-3019: ELSA-2024-2566:  pcp security, bug fix, and enhancement update (IMPORTANT) (Multiple Advisories)"
10.254.64.20,0,vv,oracle_linux-cve-2024-37298,CVE-2024-37298,8,Oracle Linux: CVE-2024-37298: ELSA-2024-5258:  container-tools:ol8 security update (IMPORTANT) (Multiple Advisories)
10.254.64.22,0,vv,oracle_linux-cve-2022-30635,CVE-2022-30635,8,Oracle Linux: CVE-2022-30635: ELSA-2022-5799:  go-toolset and golang security and bug fix update (IMPORTANT) (Multiple Advisories)
10.254.64.20,0,vv,oracle_linux-cve-2024-34156,CVE-2024-34156,8,Oracle Linux: CVE-2024-34156: ELSA-2024-6947:  grafana security update (IMPORTANT) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2023-50387,CVE-2023-50387,8,Oracle Linux: CVE-2023-50387: ELSA-2024-1335:  dnsmasq security update (IMPORTANT) (Multiple Advisories)
10.254.64.20,0,vv,oracle_linux-cve-2022-3064,CVE-2022-3064,8,Oracle Linux: CVE-2022-3064: ELSA-2023-6938:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.21,0,vv,oracle_linux-cve-2022-2880,CVE-2022-2880,8,Oracle Linux: CVE-2022-2880: ELSA-2023-18908: ol8addon security update (IMPORTANT) (Multiple Advisories)
10.254.64.22,0,vv,oracle_linux-cve-2022-27191,CVE-2022-27191,8,Oracle Linux: CVE-2022-27191: ELSA-2022-7469:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.21,0,vv,oracle_linux-cve-2022-21698,CVE-2022-21698,8,Oracle Linux: CVE-2022-21698: ELSA-2022-7529:  container-tools:3.0 security update (MODERATE) (Multiple Advisories)
10.254.64.212,0,vv,oracle_linux-cve-2020-25643,CVE-2020-25643,8,"Oracle Linux: CVE-2020-25643: ELSA-2021-1578:  kernel security, bug fix, and enhancement update (IMPORTANT) (Multiple Advisories)"
10.254.64.87,0,vv,oracle_linux-cve-2024-1975,CVE-2024-1975,8,Oracle Linux: CVE-2024-1975: ELSA-2024-5390:  bind9.16 security update (IMPORTANT) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2024-24806,CVE-2024-24806,8,Oracle Linux: CVE-2024-24806: ELSA-2024-4756:  libuv security update (MODERATE) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2024-1394,CVE-2024-1394,8,Oracle Linux: CVE-2024-1394: ELSA-2024-1501:  grafana security update (IMPORTANT) (Multiple Advisories)
10.254.64.153,0,vv,oracle_linux-cve-2023-24538,CVE-2023-24538,10,Oracle Linux: CVE-2023-24538: ELSA-2023-6938:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.154,0,vv,oracle_linux-cve-2024-24788,CVE-2024-24788,8,Oracle Linux: CVE-2024-24788: ELSA-2024-5291:  grafana security update (MODERATE) (Multiple Advisories)
10.254.64.154,0,vv,oracle_linux-cve-2024-45491,CVE-2024-45491,8,Oracle Linux: CVE-2024-45491: ELSA-2024-6754:  expat security update (MODERATE) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2023-38197,CVE-2023-38197,8,Oracle Linux: CVE-2023-38197: ELSA-2023-6369:  qt5 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2024-6345,CVE-2024-6345,10,Oracle Linux: CVE-2024-6345: ELSA-2024-5279:  python3.11-setuptools security update (IMPORTANT) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2021-34558,CVE-2021-34558,8,"Oracle Linux: CVE-2021-34558: ELSA-2021-4226:  grafana security, bug fix, and enhancement update (MODERATE) (Multiple Advisories)"
10.254.64.21,0,vv,oracle_linux-cve-2023-29406,CVE-2023-29406,8,Oracle Linux: CVE-2023-29406: ELSA-2023-6938:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.20,0,vv,oracle_linux-cve-2022-30631,CVE-2022-30631,8,Oracle Linux: CVE-2022-30631: ELSA-2022-5799:  go-toolset and golang security and bug fix update (IMPORTANT) (Multiple Advisories)
10.254.64.153,0,vv,oracle_linux-cve-2022-27191,CVE-2022-27191,8,Oracle Linux: CVE-2022-27191: ELSA-2022-7469:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2024-52532,CVE-2024-52532,8,Oracle Linux: CVE-2024-52532: ELSA-2024-9573:  libsoup security update (IMPORTANT) (Multiple Advisories)
10.254.64.21,0,vv,oracle_linux-cve-2023-24534,CVE-2023-24534,8,Oracle Linux: CVE-2023-24534: ELSA-2023-6420:  grafana security and enhancement update (MODERATE) (Multiple Advisories)
10.254.64.21,0,vv,oracle_linux-cve-2024-37298,CVE-2024-37298,8,Oracle Linux: CVE-2024-37298: ELSA-2024-5258:  container-tools:ol8 security update (IMPORTANT) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2023-24534,CVE-2023-24534,8,Oracle Linux: CVE-2023-24534: ELSA-2023-6420:  grafana security and enhancement update (MODERATE) (Multiple Advisories)
10.254.64.87,0,vv,oracle_linux-cve-2023-25193,CVE-2023-25193,8,Oracle Linux: CVE-2023-25193: ELSA-2024-2410:  harfbuzz security update (MODERATE) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2022-2880,CVE-2022-2880,8,Oracle Linux: CVE-2022-2880: ELSA-2023-18908: ol8addon security update (IMPORTANT) (Multiple Advisories)
10.254.64.86,0,vv,oracle_linux-cve-2024-52532,CVE-2024-52532,8,Oracle Linux: CVE-2024-52532: ELSA-2024-9573:  libsoup security update (IMPORTANT) (Multiple Advisories)
