Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title
10.254.64.136,0,ve,msft-cve-2024-38260,CVE-2024-38260,9,Microsoft Windows: CVE-2024-38260: Windows Remote Desktop Licensing Service Remote Code Execution Vulnerability
10.254.64.26,0,ve,msft-cve-2024-38116,CVE-2024-38116,9,Microsoft Windows: CVE-2024-38116: Windows IP Routing Management Snapin Remote Code Execution Vulnerability
10.254.64.31,0,ve,microsoft-windows-cve-2024-43573,CVE-2024-43573,9,Microsoft Windows: CVE-2024-43573: Windows MSHTML Platform Spoofing Vulnerability
10.254.64.135,0,ve,microsoft-windows-cve-2024-49129,CVE-2024-49129,9,Microsoft Windows: CVE-2024-49129: Windows Remote Desktop Gateway (RD Gateway) Denial of Service Vulnerability
10.254.64.135,0,ve,microsoft-windows-cve-2024-21416,CVE-2024-21416,9,Microsoft Windows: CVE-2024-21416: Windows TCP/IP Remote Code Execution Vulnerability
10.254.64.143,0,ve,microsoft-windows-cve-2025-21309,CVE-2025-21309,9,Microsoft Windows: CVE-2025-21309: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.64.39,0,ve,microsoft-windows-cve-2025-21303,CVE-2025-21303,9,Microsoft Windows: CVE-2025-21303: Windows Telephony Service Remote Code Execution Vulnerability
10.254.64.29,0,ve,msft-cve-2024-38180,CVE-2024-38180,9,Microsoft Windows: CVE-2024-38180: Windows SmartScreen Security Feature Bypass Vulnerability
10.254.64.30,0,ve,msft-cve-2018-15981,CVE-2018-15981,10,Microsoft CVE-2018-15981: Security updates available for Adobe Flash Player
10.254.64.142,0,ve,microsoft-windows-cve-2025-21300,CVE-2025-21300,8,Microsoft Windows: CVE-2025-21300: Windows upnphost.dll Denial of Service Vulnerability
10.254.64.30,0,ve,msft-cve-2023-38149,CVE-2023-38149,8,Microsoft Windows: CVE-2023-38149: Windows TCP/IP Denial of Service Vulnerability
10.254.64.30,0,ve,msft-cve-2022-30142,CVE-2022-30142,8,Microsoft Windows: CVE-2022-30142: Windows File History Remote Code Execution Vulnerability
10.254.64.26,0,ve,microsoft-windows-cve-2024-43550,CVE-2024-43550,9,Microsoft Windows: CVE-2024-43550: Windows Secure Channel Spoofing Vulnerability
10.254.64.30,0,ve,msft-cve-2019-0618,CVE-2019-0618,9,Microsoft Windows: CVE-2019-0618: GDI+ Remote Code Execution Vulnerability
