Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title
10.254.23.228,0,vv,google-chrome-cve-2023-1815,CVE-2023-1815,9,Google Chrome Vulnerability: CVE-2023-1815 Use after free in Networking APIs
10.254.23.183,0,vv,google-chrome-cve-2022-1478,CVE-2022-1478,9,Google Chrome Vulnerability: CVE-2022-1478 Use after free in SwiftShader
10.254.23.218,0,ve,msft-cve-2024-21333,CVE-2024-21333,9,Microsoft CVE-2024-21333: SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability
10.254.23.185,0,ve,microsoft-windows-cve-2025-21222,CVE-2025-21222,9,Microsoft Windows: CVE-2025-21222: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.54,0,ve,msft-cve-2024-28930,CVE-2024-28930,9,Microsoft CVE-2024-28930: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-28930,CVE-2024-28930,9,Microsoft CVE-2024-28930: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability
10.254.23.39,0,vv,google-chrome-cve-2024-0518,CVE-2024-0518,9,Google Chrome Vulnerability: CVE-2024-0518 Type Confusion in V8
10.254.23.183,0,ve,windows-defender-cve-2017-11940,CVE-2017-11940,9,Microsoft Malware Protection Engine Remote Code Execution Vulnerability (CVE-2017-11940)
10.254.23.39,0,vv,mfsa2025-42-cve-2025-5268,CVE-2025-5268,10,MFSA2025-42 Firefox: Security Vulnerabilities fixed in Firefox 139 (CVE-2025-5268)
10.254.23.240,0,ve,microsoft-windows-cve-2025-24035,CVE-2025-24035,9,Microsoft Windows: CVE-2025-24035: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.29.39,0,vv,google-chrome-cve-2023-4430,CVE-2023-4430,9,Google Chrome Vulnerability: CVE-2023-4430 Use after free in Vulkan
10.254.23.23,0,vv,jre-vuln-cve-2014-6513,CVE-2014-6513,10,"Java CPU October 2014 Java SE, Java SE Embedded AWT vulnerability (CVE-2014-6513)"
10.254.23.183,0,vv,google-chrome-cve-2022-0974,CVE-2022-0974,9,Google Chrome Vulnerability: CVE-2022-0974 Use after free in Splitscreen
10.254.23.93,0,ve,microsoft-windows-cve-2025-33071,CVE-2025-33071,9,Microsoft Windows: CVE-2025-33071: Windows KDC Proxy Service (KPSSVC) Remote Code Execution Vulnerability
10.254.23.178,0,ve,microsoft-windows-cve-2025-21248,CVE-2025-21248,9,Microsoft Windows: CVE-2025-21248: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.238,0,ve,msft-cve-2024-37337,CVE-2024-37337,8,Microsoft CVE-2024-37337: Microsoft SQL Server Native Scoring Information Disclosure Vulnerability
