Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title
10.254.23.130,0,vv,ubuntu-cve-2021-3177,"CVE-2021-3177,CVE-2021-3177",8,Ubuntu: (Multiple Advisories) (CVE-2021-3177): Python vulnerabilities
10.254.24.28,0,vv,ubuntu-cve-2022-0318,"CVE-2022-0318,CVE-2022-0318",8,Ubuntu: (Multiple Advisories) (CVE-2022-0318): Vim vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2015-20107,CVE-2015-20107,8,Ubuntu: (Multiple Advisories) (CVE-2015-20107): Python vulnerability
10.254.23.130,0,vv,ubuntu-cve-2021-45960,"CVE-2021-45960,CVE-2021-45960",9,Ubuntu: (Multiple Advisories) (CVE-2021-45960): Expat vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2020-14343,"CVE-2020-14343,CVE-2020-14343",10,Ubuntu: USN-4940-1 (CVE-2020-14343): PyYAML vulnerability
10.254.23.111,0,vv,ubuntu-cve-2021-29921,"CVE-2021-29921,CVE-2021-29921",8,Ubuntu: (Multiple Advisories) (CVE-2021-29921): Python vulnerability
10.254.23.130,0,vv,ubuntu-cve-2021-20231,"CVE-2021-20231,CVE-2021-20231",8,Ubuntu: USN-5029-1 (CVE-2021-20231): GnuTLS vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2022-23218,"CVE-2022-23218,CVE-2022-23218",8,Ubuntu: (Multiple Advisories) (CVE-2022-23218): GNU C Library vulnerabilities
10.254.23.111,0,vv,ubuntu-cve-2022-23218,"CVE-2022-23218,CVE-2022-23218",8,Ubuntu: (Multiple Advisories) (CVE-2022-23218): GNU C Library vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2016-1585,CVE-2016-1585,8,Ubuntu: USN-7035-1 (CVE-2016-1585): AppArmor vulnerability
10.254.23.130,0,vv,ubuntu-cve-2021-20232,"CVE-2021-20232,CVE-2021-20232",8,Ubuntu: USN-5029-1 (CVE-2021-20232): GnuTLS vulnerabilities
10.254.23.111,0,vv,ubuntu-cve-2019-9513,"CVE-2019-9513,CVE-2019-9513",8,Ubuntu: (Multiple Advisories) (CVE-2019-9513): nginx vulnerabilities
10.254.23.111,0,vv,ubuntu-cve-2019-9511,"CVE-2019-9511,CVE-2019-9511",8,Ubuntu: (Multiple Advisories) (CVE-2019-9511): nginx vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2022-22824,"CVE-2022-22824,CVE-2022-22824",8,Ubuntu: (Multiple Advisories) (CVE-2022-22824): Expat vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2021-31873,"CVE-2021-31873,CVE-2021-31873",8,Ubuntu: USN-5379-1 (CVE-2021-31873): klibc vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2021-3177,"CVE-2021-3177,CVE-2021-3177",8,Ubuntu: (Multiple Advisories) (CVE-2021-3177): Python vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2021-31872,"CVE-2021-31872,CVE-2021-31872",8,Ubuntu: USN-5379-1 (CVE-2021-31872): klibc vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2021-3520,"CVE-2021-3520,CVE-2021-3520",8,Ubuntu: (Multiple Advisories) (CVE-2021-3520): LZ4 vulnerability
10.254.23.111,0,vv,ubuntu-cve-2016-9841,"CVE-2016-9841,CVE-2016-9841",8,Ubuntu: (Multiple Advisories) (CVE-2016-9841): zlib vulnerabilities
10.254.23.111,0,vv,ubuntu-cve-2022-23219,"CVE-2022-23219,CVE-2022-23219",8,Ubuntu: (Multiple Advisories) (CVE-2022-23219): GNU C Library vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2022-25235,"CVE-2022-25235,CVE-2022-25235",8,Ubuntu: (Multiple Advisories) (CVE-2022-25235): Expat vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2022-0318,"CVE-2022-0318,CVE-2022-0318",8,Ubuntu: (Multiple Advisories) (CVE-2022-0318): Vim vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2021-31870,"CVE-2021-31870,CVE-2021-31870",8,Ubuntu: USN-5379-1 (CVE-2021-31870): klibc vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2021-3517,"CVE-2021-3517,CVE-2021-3517",8,Ubuntu: USN-4991-1 (CVE-2021-3517): libxml2 vulnerabilities
10.254.23.130,0,vv,ubuntu-cve-2016-9841,"CVE-2016-9841,CVE-2016-9841",8,Ubuntu: (Multiple Advisories) (CVE-2016-9841): zlib vulnerabilities
10.254.23.111,0,vv,ubuntu-cve-2015-20107,CVE-2015-20107,8,Ubuntu: (Multiple Advisories) (CVE-2015-20107): Python vulnerability
