Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title
10.254.23.234,0,ve,microsoft-windows-cve-2024-49115,CVE-2024-49115,9,Microsoft Windows: CVE-2024-49115: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-21357,CVE-2024-21357,9,Microsoft Windows: CVE-2024-21357: Windows Pragmatic General Multicast (PGM) Remote Code Execution Vulnerability
10.254.23.25,0,ve,windows-defender-cve-2018-0986,CVE-2018-0986,9,Microsoft Malware Protection Engine Remote Code Execution Vulnerability (CVE-2018-0986)
10.254.23.47,443,vv,apache-httpd-cve-2024-40898,CVE-2024-40898,8,Apache HTTPD: Apache HTTP Server: SSRF with mod_rewrite in server/vhost context on Windows (CVE-2024-40898)
10.254.23.36,0,ve,microsoft-windows-cve-2025-21239,CVE-2025-21239,9,Microsoft Windows: CVE-2025-21239: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.25,0,ve,microsoft-windows-cve-2025-21411,CVE-2025-21411,9,Microsoft Windows: CVE-2025-21411: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.80,0,ve,microsoft-windows-cve-2025-21305,CVE-2025-21305,9,Microsoft Windows: CVE-2025-21305: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.80,0,ve,microsoft-windows-cve-2024-49112,CVE-2024-49112,10,Microsoft Windows: CVE-2024-49112: Windows Lightweight Directory Access Protocol (LDAP) Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2023-32022,CVE-2023-32022,8,Microsoft Windows: CVE-2023-32022: Windows Server Service Security Feature Bypass Vulnerability
10.254.23.25,0,ve,msft-cve-2018-0986,CVE-2018-0986,9,Microsoft CVE-2018-0986: Malware Protection Engine Remote Code Execution Vulnerability
10.254.23.36,0,ve,microsoft-windows-cve-2024-43541,CVE-2024-43541,8,Microsoft Windows: CVE-2024-43541: Microsoft Simple Certificate Enrollment Protocol Denial of Service Vulnerability
10.254.23.48,0,ve,microsoft-windows-cve-2024-43541,CVE-2024-43541,8,Microsoft Windows: CVE-2024-43541: Microsoft Simple Certificate Enrollment Protocol Denial of Service Vulnerability
10.254.23.234,0,ve,microsoft-windows-cve-2024-43547,CVE-2024-43547,8,Microsoft Windows: CVE-2024-43547: Windows Kerberos Information Disclosure Vulnerability
10.254.23.65,0,ve,microsoft-windows-cve-2024-43639,CVE-2024-43639,10,Microsoft Windows: CVE-2024-43639: Windows KDC Proxy Remote Code Execution Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2025-21417,CVE-2025-21417,9,Microsoft Windows: CVE-2025-21417: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-30070,CVE-2024-30070,8,Microsoft Windows: CVE-2024-30070: DHCP Server Service Denial of Service Vulnerability
10.254.23.80,0,vv,spring-cve-2022-22965,CVE-2022-22965,8,Vmware Spring: CVE-2022-22965: Spring Framework RCE via Data Binding
10.254.23.36,0,ve,msft-cve-2020-1046,CVE-2020-1046,9,Microsoft CVE-2020-1046: .NET Framework Remote Code Execution Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2024-38262,CVE-2024-38262,9,Microsoft Windows: CVE-2024-38262: Windows Remote Desktop Licensing Service Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2023-32033,CVE-2023-32033,8,Microsoft Windows: CVE-2023-32033: Microsoft Failover Cluster Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-21449,CVE-2024-21449,9,Microsoft CVE-2024-21449: SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2024-49120,CVE-2024-49120,9,Microsoft Windows: CVE-2024-49120: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2023-36882,CVE-2023-36882,9,Microsoft Windows: CVE-2023-36882: Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability
10.254.23.234,0,ve,microsoft-windows-cve-2024-43541,CVE-2024-43541,8,Microsoft Windows: CVE-2024-43541: Microsoft Simple Certificate Enrollment Protocol Denial of Service Vulnerability
10.254.23.234,0,ve,microsoft-windows-cve-2024-43582,CVE-2024-43582,9,Microsoft Windows: CVE-2024-43582: Remote Desktop Protocol Server Remote Code Execution Vulnerability
10.254.23.47,443,vv,apache-httpd-cve-2024-38473,CVE-2024-38473,9,Apache HTTPD: Apache HTTP Server proxy encoding problem (CVE-2024-38473)
10.254.23.47,0,ve,microsoft-windows-cve-2025-21236,CVE-2025-21236,9,Microsoft Windows: CVE-2025-21236: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2025-21244,CVE-2025-21244,9,Microsoft Windows: CVE-2025-21244: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.80,0,ve,microsoft-windows-cve-2024-49113,CVE-2024-49113,8,Microsoft Windows: CVE-2024-49113: Windows Lightweight Directory Access Protocol (LDAP) Denial of Service Vulnerability
10.254.23.36,0,ve,msft-cve-2024-21407,CVE-2024-21407,9,Microsoft Windows: CVE-2024-21407: Windows Hyper-V Remote Code Execution Vulnerability
10.254.23.25,0,ve,microsoft-windows-cve-2025-21239,CVE-2025-21239,9,Microsoft Windows: CVE-2025-21239: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.36,0,ve,microsoft-windows-cve-2025-21389,CVE-2025-21389,8,Microsoft Windows: CVE-2025-21389: Windows upnphost.dll Denial of Service Vulnerability
10.254.23.36,0,ve,msft-cve-2023-38166,CVE-2023-38166,9,Microsoft Windows: CVE-2023-38166: Layer 2 Tunneling Protocol Remote Code Execution Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2024-49108,CVE-2024-49108,9,Microsoft Windows: CVE-2024-49108: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-26166,CVE-2024-26166,9,Microsoft Windows: CVE-2024-26166: Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability
10.254.23.36,0,ve,microsoft-windows-cve-2025-21295,CVE-2025-21295,9,Microsoft Windows: CVE-2025-21295: SPNEGO Extended Negotiation (NEGOEX) Security Mechanism Remote Code Execution Vulnerability
10.254.23.36,0,ve,microsoft-windows-cve-2025-21298,CVE-2025-21298,10,Microsoft Windows: CVE-2025-21298: Windows OLE Remote Code Execution Vulnerability
10.254.23.80,0,vv,spring-cve-2022-22965,CVE-2022-22965,8,Vmware Spring: CVE-2022-22965: Spring Framework RCE via Data Binding
10.254.23.36,0,ve,msft-cve-2024-28941,CVE-2024-28941,9,Microsoft CVE-2024-28941: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-26215,CVE-2024-26215,8,Microsoft Windows: CVE-2024-26215: DHCP Server Service Denial of Service Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2024-43575,CVE-2024-43575,8,Microsoft Windows: CVE-2024-43575: Windows Hyper-V Denial of Service Vulnerability
10.254.23.36,0,ve,msft-cve-2024-38131,CVE-2024-38131,9,Microsoft Windows: CVE-2024-38131: Clipboard Virtual Channel Extension Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-30037,CVE-2024-30037,8,Microsoft Windows: CVE-2024-30037: Windows Common Log File System Driver Elevation of Privilege Vulnerability
10.254.23.234,0,ve,microsoft-windows-cve-2024-43635,CVE-2024-43635,9,Microsoft Windows: CVE-2024-43635: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-49011,CVE-2024-49011,9,Microsoft CVE-2024-49011: SQL Server Native Client Remote Code Execution Vulnerability
10.254.23.48,0,ve,microsoft-windows-cve-2025-21285,CVE-2025-21285,8,Microsoft Windows: CVE-2025-21285: Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
10.254.23.48,0,ve,microsoft-windows-cve-2025-21236,CVE-2025-21236,9,Microsoft Windows: CVE-2025-21236: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.80,0,vv,spring-cve-2022-22965,CVE-2022-22965,8,Vmware Spring: CVE-2022-22965: Spring Framework RCE via Data Binding
10.254.23.36,0,ve,msft-cve-2024-38263,CVE-2024-38263,9,Microsoft Windows: CVE-2024-38263: Windows Remote Desktop Licensing Service Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-28925,CVE-2024-28925,8,Microsoft Windows: CVE-2024-28925: Secure Boot Security Feature Bypass Vulnerability
10.254.23.25,0,ve,microsoft-windows-cve-2024-49119,CVE-2024-49119,9,Microsoft Windows: CVE-2024-49119: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.23.65,0,ve,microsoft-windows-cve-2025-21244,CVE-2025-21244,9,Microsoft Windows: CVE-2025-21244: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.65,0,ve,microsoft-windows-cve-2024-43541,CVE-2024-43541,8,Microsoft Windows: CVE-2024-43541: Microsoft Simple Certificate Enrollment Protocol Denial of Service Vulnerability
10.254.23.234,0,ve,microsoft-windows-cve-2025-21230,CVE-2025-21230,8,Microsoft Windows: CVE-2025-21230: Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
10.254.23.65,0,vv,apache-log4j-core-cve-2021-44228,CVE-2021-44228,9,Apache Log4j Core: CVE-2021-44228: JNDI support has not restricted what names could be resolved allowing remote code execution
10.254.23.36,0,ve,microsoft-windows-cve-2024-43565,CVE-2024-43565,8,Microsoft Windows: CVE-2024-43565: Windows Network Address Translation (NAT) Denial of Service Vulnerability
10.254.23.103,0,ve,windows-hotfix-ms13-098,CVE-2013-3900,8,CVE-2013-3900: MS13-098: Vulnerability in Windows Could Allow Remote Code Execution
10.254.23.48,0,ve,microsoft-windows-cve-2025-21306,CVE-2025-21306,9,Microsoft Windows: CVE-2025-21306: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.234,0,ve,microsoft-windows-cve-2024-49132,CVE-2024-49132,9,Microsoft Windows: CVE-2024-49132: Windows Remote Desktop Services Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-28912,CVE-2024-28912,9,Microsoft CVE-2024-28912: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability
10.254.23.47,0,ve,windows-defender-cve-2021-42298,CVE-2021-42298,9,Microsoft Defender Remote Code Execution Vulnerability (CVE-2021-42298)
10.254.23.80,0,vv,spring-cve-2022-22965,CVE-2022-22965,8,Vmware Spring: CVE-2022-22965: Spring Framework RCE via Data Binding
10.254.23.65,0,ve,microsoft-windows-cve-2025-21236,CVE-2025-21236,9,Microsoft Windows: CVE-2025-21236: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.80,0,vv,spring-cve-2022-22965,CVE-2022-22965,8,Vmware Spring: CVE-2022-22965: Spring Framework RCE via Data Binding
10.254.23.80,0,vv,spring-cve-2022-22965,CVE-2022-22965,8,Vmware Spring: CVE-2022-22965: Spring Framework RCE via Data Binding
10.254.23.25,0,ve,microsoft-windows-cve-2025-21306,CVE-2025-21306,9,Microsoft Windows: CVE-2025-21306: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-28899,CVE-2024-28899,8,Microsoft Windows: CVE-2024-28899: Secure Boot Security Feature Bypass Vulnerability
10.254.23.36,0,ve,msft-cve-2023-35349,CVE-2023-35349,10,Microsoft Windows: CVE-2023-35349: Microsoft Message Queuing (MSMQ) Remote Code Execution Vulnerability
10.254.23.25,0,ve,microsoft-windows-cve-2025-21298,CVE-2025-21298,10,Microsoft Windows: CVE-2025-21298: Windows OLE Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2024-30006,CVE-2024-30006,9,Microsoft Windows: CVE-2024-30006: Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability
10.254.23.80,0,vv,spring-cve-2022-22965,CVE-2022-22965,8,Vmware Spring: CVE-2022-22965: Spring Framework RCE via Data Binding
10.254.23.65,0,ve,microsoft-windows-cve-2025-21245,CVE-2025-21245,9,Microsoft Windows: CVE-2025-21245: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2023-28231,CVE-2023-28231,8,Microsoft Windows: CVE-2023-28231: DHCP Server Service Remote Code Execution Vulnerability
10.254.23.104,0,ve,msft-cve-2017-8558,CVE-2017-8558,9,Microsoft CVE-2017-8558: Malware Protection Engine Remote Code Execution Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2025-21218,CVE-2025-21218,8,Microsoft Windows: CVE-2025-21218: Windows Kerberos Denial of Service Vulnerability
10.254.23.36,0,ve,microsoft-windows-cve-2024-38045,CVE-2024-38045,9,Microsoft Windows: CVE-2024-38045: Windows TCP/IP Remote Code Execution Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2025-21303,CVE-2025-21303,9,Microsoft Windows: CVE-2025-21303: Windows Telephony Service Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2023-35322,CVE-2023-35322,9,Microsoft Windows: CVE-2023-35322: Windows Deployment Services Remote Code Execution Vulnerability
10.254.23.36,0,ve,msft-cve-2023-36709,CVE-2023-36709,8,Microsoft Windows: CVE-2023-36709: Microsoft AllJoyn API Denial of Service Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2024-43573,CVE-2024-43573,9,Microsoft Windows: CVE-2024-43573: Windows MSHTML Platform Spoofing Vulnerability
10.254.23.36,0,ve,msft-cve-2023-41774,CVE-2023-41774,9,Microsoft Windows: CVE-2023-41774: Layer 2 Tunneling Protocol Remote Code Execution Vulnerability
10.254.23.80,0,ve,microsoft-windows-cve-2025-21293,CVE-2025-21293,9,Microsoft Windows: CVE-2025-21293: Active Directory Domain Services Elevation of Privilege Vulnerability
10.254.23.47,0,ve,microsoft-windows-cve-2025-21290,CVE-2025-21290,8,Microsoft Windows: CVE-2025-21290: Microsoft Message Queuing (MSMQ) Denial of Service Vulnerability
