Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title
10.254.60.68,0,vv,oracle_linux-cve-2025-47273,CVE-2025-47273,8,Oracle Linux: CVE-2025-47273: ELSA-2025-10407:  python-setuptools security update (MODERATE) (Multiple Advisories)
10.254.60.237,0,vv,oracle_linux-cve-2023-52356,CVE-2023-52356,8,Oracle Linux: CVE-2023-52356: ELSA-2024-5079:  libtiff security update (MODERATE) (Multiple Advisories)
10.254.60.32,0,vv,google-chrome-cve-2024-12694,CVE-2024-12694,9,Google Chrome Vulnerability: CVE-2024-12694 Use after free in Compositing
10.254.60.235,0,vv,oracle_linux-cve-2023-39322,CVE-2023-39322,8,Oracle Linux: CVE-2023-39322: ELSA-2023-7762:  skopeo security update (MODERATE) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2016-5582,CVE-2016-5582,9,"Java CPU October 2016 Java SE, Java SE Embedded Hotspot vulnerability (CVE-2016-5582)"
10.254.60.41,0,vv,oracle_linux-cve-2025-30749,CVE-2025-30749,9,Oracle Linux: CVE-2025-30749: ELSA-2025-10861:  java-1.8.0-openjdk security update (IMPORTANT) (Multiple Advisories)
10.254.60.65,0,vv,oracle_linux-cve-2024-34156,CVE-2024-34156,8,Oracle Linux: CVE-2024-34156: ELSA-2024-11216:  containernetworking-plugins security update (MODERATE) (Multiple Advisories)
10.254.60.73,0,vv,oracle_linux-cve-2025-4330,CVE-2025-4330,8,Oracle Linux: CVE-2025-4330: ELSA-2025-10026:  python3.11 security update (IMPORTANT) (Multiple Advisories)
10.254.60.235,0,vv,oracle_linux-cve-2023-50868,CVE-2023-50868,8,Oracle Linux: CVE-2023-50868: ELSA-2024-1335:  dnsmasq security update (IMPORTANT) (Multiple Advisories)
10.254.60.27,0,ve,msft-cve-2024-21438,CVE-2024-21438,8,Microsoft Windows: CVE-2024-21438: Microsoft AllJoyn API Denial of Service Vulnerability
10.254.60.27,0,vv,google-chrome-cve-2024-6290,CVE-2024-6290,9,Google Chrome Vulnerability: CVE-2024-6290 Use after free in Dawn
10.254.60.32,0,vv,oracle_linux-cve-2024-8176,CVE-2024-8176,8,Oracle Linux: CVE-2024-8176: ELSA-2025-3531:  expat security update (MODERATE) (Multiple Advisories)
10.254.60.235,0,vv,oracle_linux-cve-2024-2961,CVE-2024-2961,9,Oracle Linux: CVE-2024-2961: ELSA-2024-12444: glibc security update (IMPORTANT) (Multiple Advisories)
10.254.60.53,0,vv,oracle_linux-cve-2020-28241,CVE-2020-28241,8,Oracle Linux: CVE-2020-28241: ELSA-2024-0768:  libmaxminddb security update (MODERATE) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2024-20952,CVE-2024-20952,9,"Java CPU January 2024 Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition vulnerability (CVE-2024-20952)"
10.254.60.240,0,ve,microsoft-windows-cve-2025-26663,CVE-2025-26663,9,Microsoft Windows: CVE-2025-26663: Windows Lightweight Directory Access Protocol (LDAP) Remote Code Execution Vulnerability
10.254.60.27,0,ve,msft-cve-2024-30097,CVE-2024-30097,9,Microsoft Windows: CVE-2024-30097: Microsoft Speech Application Programming Interface (SAPI) Remote Code Execution Vulnerability
10.254.60.32,0,vv,oracle_linux-cve-2025-32911,CVE-2025-32911,9,Oracle Linux: CVE-2025-32911: ELSA-2025-4560:  libsoup security update (IMPORTANT) (Multiple Advisories)
10.254.60.236,0,vv,oracle_linux-cve-2019-13224,CVE-2019-13224,8,"Oracle Linux: CVE-2019-13224: ELSA-2020-3662:  php:7.3 security, bug fix, and enhancement update (MODERATE) (Multiple Advisories)"
10.254.60.238,0,vv,oracle_linux-cve-2024-25062,CVE-2024-25062,8,Oracle Linux: CVE-2024-25062: ELSA-2024-3626:  libxml2 security update (MODERATE) (Multiple Advisories)
10.254.60.51,0,vv,jre-vuln-cve-2024-54534,CVE-2024-54534,10,"Java CPU April 2025 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2024-54534)"
10.254.60.237,0,vv,oracle_linux-cve-2021-41072,CVE-2021-41072,9,Oracle Linux: CVE-2021-41072: ELSA-2024-2396:  squashfs-tools security update (MODERATE) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2022-34169,CVE-2022-34169,8,"Java CPU July 2022 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2022-34169)"
10.254.60.51,0,vv,oracle_linux-cve-2022-41725,CVE-2022-41725,8,Oracle Linux: CVE-2022-41725: ELSA-2023-6938:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2025-30749,CVE-2025-30749,9,"Java CPU July 2025 Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition vulnerability (CVE-2025-30749)"
10.254.60.14,0,vv,oracle_linux-cve-2025-5994,CVE-2025-5994,8,Oracle Linux: CVE-2025-5994: ELSA-2025-11849:  unbound security update (IMPORTANT) (Multiple Advisories)
10.254.60.49,0,vv,apache-log4j-obsolete-version,,10,Apache Log4j Obsolete Version
10.254.60.237,0,vv,oracle_linux-cve-2025-21614,CVE-2025-21614,8,Oracle Linux: CVE-2025-21614: ELSA-2025-0401:  grafana security update (IMPORTANT) (Multiple Advisories)
10.254.60.27,0,ve,msft-cve-2024-37970,CVE-2024-37970,8,Microsoft Windows: CVE-2024-37970: Secure Boot Security Feature Bypass Vulnerability
10.254.60.53,0,vv,oracle_linux-cve-2023-6240,CVE-2023-6240,8,Oracle Linux: CVE-2023-6240: ELSA-2024-2758:  kernel security and bug fix update (MODERATE) (Multiple Advisories)
10.254.60.55,0,vv,oracle_linux-cve-2025-4435,CVE-2025-4435,8,Oracle Linux: CVE-2025-4435: ELSA-2025-10026:  python3.11 security update (IMPORTANT) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2016-3610,CVE-2016-3610,9,"Java CPU July 2016 Java SE, Java SE Embedded Libraries vulnerability (CVE-2016-3610)"
10.254.60.52,0,vv,oracle_linux-cve-2024-1394,CVE-2024-1394,8,Oracle Linux: CVE-2024-1394: ELSA-2024-1462:  golang security update (IMPORTANT) (Multiple Advisories)
10.254.60.238,0,vv,oracle_linux-cve-2024-6345,CVE-2024-6345,10,Oracle Linux: CVE-2024-6345: ELSA-2024-5279:  python3.11-setuptools security update (IMPORTANT) (Multiple Advisories)
10.254.60.27,0,ve,msft-cve-2024-21361,CVE-2024-21361,9,Microsoft Windows: CVE-2024-21361: Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability
10.254.60.31,0,vv,spring-cve-2022-22965,CVE-2022-22965,8,Vmware Spring: CVE-2022-22965: Spring Framework RCE via Data Binding
10.254.60.27,0,vv,google-chrome-cve-2025-3067,CVE-2025-3067,9,Google Chrome Vulnerability: CVE-2025-3067 Inappropriate implementation in Custom Tabs
10.254.60.48,0,vv,apache-tomcat-cve-2025-46701,CVE-2025-46701,8,Apache Tomcat: Low: CGI security constraint bypass (CVE-2025-46701)
10.254.60.49,0,vv,oracle_linux-cve-2022-3064,CVE-2022-3064,8,Oracle Linux: CVE-2022-3064: ELSA-2023-6938:  container-tools:4.0 security and bug fix update (MODERATE) (Multiple Advisories)
10.254.60.50,0,vv,jre-vuln-cve-2025-50059,CVE-2025-50059,8,"Java CPU July 2025 Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition vulnerability (CVE-2025-50059)"
10.254.60.237,0,vv,oracle_linux-cve-2024-52533,CVE-2024-52533,8,Oracle Linux: CVE-2024-52533: ELSA-2025-0936: mingw-glib2 security update (MODERATE) (Multiple Advisories)
10.254.60.27,0,vv,google-chrome-cve-2024-0224,CVE-2024-0224,9,Google Chrome Vulnerability: CVE-2024-0224 Use after free in WebAudio
10.254.60.56,0,vv,oracle_linux-cve-2024-52533,CVE-2024-52533,8,Oracle Linux: CVE-2024-52533: ELSA-2025-0936: mingw-glib2 security update (MODERATE) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2021-3517,CVE-2021-3517,8,Java CPU October 2021 Java SE vulnerability (CVE-2021-3517)
10.254.60.237,0,vv,oracle_linux-cve-2023-45287,CVE-2023-45287,8,Oracle Linux: CVE-2023-45287: ELSA-2024-2988:  container-tools:ol8 security update (MODERATE) (Multiple Advisories)
10.254.60.41,0,vv,oracle_linux-cve-2025-6965,CVE-2025-6965,8,Oracle Linux: CVE-2025-6965: ELSA-2025-11802:  nodejs:22 security update (IMPORTANT) (Multiple Advisories)
10.254.60.62,0,vv,oracle_linux-cve-2024-12718,CVE-2024-12718,8,Oracle Linux: CVE-2024-12718: ELSA-2025-10026:  python3.11 security update (IMPORTANT) (Multiple Advisories)
10.254.60.236,0,vv,oracle_linux-cve-2025-21614,CVE-2025-21614,8,Oracle Linux: CVE-2025-21614: ELSA-2025-0401:  grafana security update (IMPORTANT) (Multiple Advisories)
10.254.60.238,0,vv,oracle_linux-cve-2024-39936,CVE-2024-39936,8,Oracle Linux: CVE-2024-39936: ELSA-2024-4623:  qt5-qtbase security update (IMPORTANT) (Multiple Advisories)
10.254.60.235,0,vv,oracle_linux-cve-2025-27363,CVE-2025-27363,9,Oracle Linux: CVE-2025-27363: ELSA-2025-3395:  freetype security update (IMPORTANT) (Multiple Advisories)
10.254.60.50,0,vv,oracle_linux-cve-2020-13790,CVE-2020-13790,9,Oracle Linux: CVE-2020-13790: ELSA-2025-7540:  libjpeg-turbo security update (MODERATE)
10.254.60.27,0,vv,google-chrome-cve-2025-0762,CVE-2025-0762,9,Google Chrome Vulnerability: CVE-2025-0762 Use after free in DevTools
10.254.60.56,0,vv,jre-vuln-cve-2024-21147,CVE-2024-21147,9,"Java CPU July 2024 Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition vulnerability (CVE-2024-21147)"
10.254.60.237,0,vv,oracle_linux-cve-2024-1394,CVE-2024-1394,8,Oracle Linux: CVE-2024-1394: ELSA-2024-1462:  golang security update (IMPORTANT) (Multiple Advisories)
10.254.60.65,0,vv,oracle_linux-cve-2024-12718,CVE-2024-12718,8,Oracle Linux: CVE-2024-12718: ELSA-2025-10026:  python3.11 security update (IMPORTANT) (Multiple Advisories)
10.254.60.32,0,vv,oracle_linux-cve-2022-30631,CVE-2022-30631,8,Oracle Linux: CVE-2022-30631: ELSA-2022-5799:  go-toolset and golang security and bug fix update (IMPORTANT) (Multiple Advisories)
10.254.60.27,0,ve,microsoft-windows-cve-2024-43517,CVE-2024-43517,9,Microsoft Windows: CVE-2024-43517: Microsoft ActiveX Data Objects Remote Code Execution Vulnerability
10.254.60.237,0,vv,oracle_linux-cve-2025-49796,CVE-2025-49796,9,Oracle Linux: CVE-2025-49796: ELSA-2025-10630:  libxml2 security update (IMPORTANT) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2023-21930,CVE-2023-21930,9,"Java CPU April 2023 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2023-21930)"
10.254.60.27,0,vv,google-chrome-cve-2024-9123,CVE-2024-9123,9,Google Chrome Vulnerability: CVE-2024-9123 Integer overflow in Skia
10.254.60.238,0,vv,oracle_linux-cve-2023-39615,CVE-2023-39615,8,Oracle Linux: CVE-2023-39615: ELSA-2024-0119:  libxml2 security update (MODERATE) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2016-3610,CVE-2016-3610,9,"Java CPU July 2016 Java SE, Java SE Embedded Libraries vulnerability (CVE-2016-3610)"
10.254.60.56,0,vv,jre-vuln-cve-2016-3587,CVE-2016-3587,9,"Java CPU July 2016 Java SE, Java SE Embedded Hotspot vulnerability (CVE-2016-3587)"
10.254.60.64,0,vv,oracle_linux-cve-2025-6032,CVE-2025-6032,8,Oracle Linux: CVE-2025-6032: ELSA-2025-10549:  podman security update (IMPORTANT) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2025-50059,CVE-2025-50059,8,"Java CPU July 2025 Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition vulnerability (CVE-2025-50059)"
10.254.60.237,0,vv,oracle_linux-cve-2025-49794,CVE-2025-49794,9,Oracle Linux: CVE-2025-49794: ELSA-2025-10630:  libxml2 security update (IMPORTANT) (Multiple Advisories)
10.254.60.53,0,vv,oracle_linux-cve-2019-19012,CVE-2019-19012,8,Oracle Linux: CVE-2019-19012: ELSA-2024-0889:  oniguruma security update (MODERATE) (Multiple Advisories)
10.254.60.27,0,ve,microsoft-windows-cve-2025-29966,CVE-2025-29966,9,Microsoft Windows: CVE-2025-29966: Remote Desktop Client Remote Code Execution Vulnerability
10.254.60.70,0,vv,oracle_linux-cve-2025-49794,CVE-2025-49794,9,Oracle Linux: CVE-2025-49794: ELSA-2025-10630:  libxml2 security update (IMPORTANT) (Multiple Advisories)
10.254.60.41,0,vv,oracle_linux-cve-2025-6032,CVE-2025-6032,8,Oracle Linux: CVE-2025-6032: ELSA-2025-10549:  podman security update (IMPORTANT) (Multiple Advisories)
10.254.60.27,0,ve,microsoft-windows-cve-2025-21220,CVE-2025-21220,8,Microsoft Windows: CVE-2025-21220: Microsoft Message Queuing Information Disclosure Vulnerability
10.254.60.54,0,vv,oracle_linux-cve-2025-49796,CVE-2025-49796,9,Oracle Linux: CVE-2025-49796: ELSA-2025-10630:  libxml2 security update (IMPORTANT) (Multiple Advisories)
10.254.60.27,0,ve,msft-cve-2024-38263,CVE-2024-38263,9,Microsoft Windows: CVE-2024-38263: Windows Remote Desktop Licensing Service Remote Code Execution Vulnerability
10.254.60.56,0,vv,jre-vuln-cve-2025-50106,CVE-2025-50106,9,"Java CPU July 2025 Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition vulnerability (CVE-2025-50106)"
10.254.60.51,0,vv,jre-vuln-cve-2024-54534,CVE-2024-54534,10,"Java CPU April 2025 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2024-54534)"
10.254.60.32,0,vv,oracle_linux-cve-2023-6240,CVE-2023-6240,8,Oracle Linux: CVE-2023-6240: ELSA-2024-2758:  kernel security and bug fix update (MODERATE) (Multiple Advisories)
10.254.60.240,0,ve,microsoft-windows-cve-2025-47984,CVE-2025-47984,8,Microsoft Windows: CVE-2025-47984: Windows GDI Information Disclosure Vulnerability
10.254.60.60,0,vv,oracle_linux-cve-2025-4435,CVE-2025-4435,8,Oracle Linux: CVE-2025-4435: ELSA-2025-10026:  python3.11 security update (IMPORTANT) (Multiple Advisories)
10.254.60.32,0,vv,oracle_linux-cve-2025-21587,CVE-2025-21587,9,Oracle Linux: CVE-2025-21587: ELSA-2025-3844:  java-1.8.0-openjdk security update (MODERATE) (Multiple Advisories)
10.254.60.62,0,vv,oracle_linux-cve-2025-4330,CVE-2025-4330,8,Oracle Linux: CVE-2025-4330: ELSA-2025-10026:  python3.11 security update (IMPORTANT) (Multiple Advisories)
10.254.60.77,0,vv,oracle_linux-cve-2025-4138,CVE-2025-4138,8,Oracle Linux: CVE-2025-4138: ELSA-2025-10026:  python3.11 security update (IMPORTANT) (Multiple Advisories)
10.254.60.236,0,vv,oracle_linux-cve-2025-32913,CVE-2025-32913,8,Oracle Linux: CVE-2025-32913: ELSA-2025-4560:  libsoup security update (IMPORTANT) (Multiple Advisories)
10.254.60.51,0,vv,jre-vuln-cve-2025-50106,CVE-2025-50106,9,"Java CPU July 2025 Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition vulnerability (CVE-2025-50106)"
10.254.60.53,0,vv,oracle_linux-cve-2025-49796,CVE-2025-49796,9,Oracle Linux: CVE-2025-49796: ELSA-2025-10630:  libxml2 security update (IMPORTANT) (Multiple Advisories)
10.254.60.49,0,vv,oracle_linux-cve-2025-5994,CVE-2025-5994,8,Oracle Linux: CVE-2025-5994: ELSA-2025-11849:  unbound security update (IMPORTANT) (Multiple Advisories)
10.254.60.240,0,vv,apache-tomcat-cve-2025-52520,CVE-2025-52520,8,Apache Tomcat: Low: DoS due to overflow in file upload limit (CVE-2025-52520)
10.254.60.235,0,vv,oracle_linux-cve-2024-25062,CVE-2024-25062,8,Oracle Linux: CVE-2024-25062: ELSA-2024-3626:  libxml2 security update (MODERATE) (Multiple Advisories)
10.254.60.31,0,vv,oracle_linux-cve-2023-6240,CVE-2023-6240,8,Oracle Linux: CVE-2023-6240: ELSA-2024-2758:  kernel security and bug fix update (MODERATE) (Multiple Advisories)
10.254.60.56,0,vv,jre-vuln-cve-2023-41993,CVE-2023-41993,9,"Java CPU April 2024 Oracle Java SE, Oracle GraalVM Enterprise Edition vulnerability (CVE-2023-41993)"
10.254.60.253,0,vv,oracle_linux-cve-2024-8805,CVE-2024-8805,8,Oracle Linux: CVE-2024-8805: ELSA-2025-20365: Unbreakable Enterprise kernel security update (IMPORTANT)
10.254.60.27,0,ve,msft-cve-2024-38240,CVE-2024-38240,9,Microsoft Windows: CVE-2024-38240: Windows Remote Access Connection Manager Elevation of Privilege Vulnerability
